"cdabr","vap","pvap","n"
"66796","4","0,17","30"
"66796","10","0,44","44"
"66796","1","0,04","80"
"66796","2","0,09","14"
"66796","0","00,00","21"
"66796","0","00,00","16"
"66796","0","00,00","27"
"66850","7885","56,94","22"
"66850","4944","35,70","13"
"66850","581","4,20","15"
"66850","247","1,78","12"
"66850","40","0,29","30"
"66850","123","0,89","44"
"66850","2","0,01","80"
"66850","11","0,08","14"
"66850","7","0,05","21"
"66850","6","0,04","16"
"66850","1","0,01","27"
"67032","8615","63,44","22"
"67032","4021","29,61","13"
"67032","580","4,27","15"
"67032","242","1,78","12"
"67032","41","0,30","30"
"67032","59","0,43","44"
"67032","1","0,01","80"
"67032","13","0,10","14"
"67032","6","0,04","21"
"67032","1","0,01","16"
"67032","1","0,01","27"
"67059","3529","36,71","22"
"67059","5551","57,75","13"
"67059","330","3,43","15"
"67059","157","1,63","12"
"67059","9","0,09","30"
"67059","26","0,27","44"
"67059","3","0,03","80"
"67059","6","0,06","14"
"67059","0","00,00","21"
"67059","0","00,00","16"
"67059","1","0,01","27"
"67334","1306","48,00","22"
"67334","1288","47,34","13"
"67334","84","3,09","15"
"67334","29","1,07","12"
"67334","6","0,22","30"
"67334","6","0,22","44"
"67334","0","00,00","80"
"67334","0","00,00","14"
"67334","2","0,07","21"
"67334","0","00,00","16"
"67334","0","00,00","27"
"67431","1503","58,01","22"
"67431","964","37,21","13"
"67431","85","3,28","15"
"67431","30","1,16","12"
"67431","3","0,12","30"
"67431","2","0,08","44"
"67431","0","00,00","80"
"67431","4","0,15","14"
"67431","0","00,00","21"
"67431","0","00,00","16"
"67431","0","00,00","27"
"62340","30","1,74","12"
"62340","854","49,48","13"
"62340","2","0,12","14"
"62340","55","3,19","15"
"62340","0","00,00","16"
"62340","0","00,00","80"
"62340","767","44,44","22"
"62340","0","00,00","27"
"62340","2","0,12","30"
"62340","14","0,81","44"
"62340","2","0,12","21"
"67458","1430","41,53","22"
"67458","1786","51,87","13"
"67458","152","4,41","15"
"67458","57","1,66","12"
"67458","4","0,12","30"
"67458","12","0,35","44"
"67458","0","00,00","80"
"67458","1","0,03","14"
"67458","1","0,03","21"
"67458","0","00,00","16"
"67458","0","00,00","27"
"67636","654","45,70","22"
"67636","713","49,83","13"
"67636","38","2,66","15"
"67636","19","1,33","12"
"67636","3","0,21","30"
"67636","3","0,21","44"
"67636","0","00,00","80"
"67636","0","00,00","14"
"67636","1","0,07","21"
"67636","0","00,00","16"
"67636","0","00,00","27"
"67652","1238","49,36","22"
"67652","1145","45,65","13"
"67652","86","3,43","15"
"67652","29","1,16","12"
"67652","3","0,12","30"
"67652","5","0,20","44"
"67652","0","00,00","80"
"67652","0","00,00","14"
"67652","1","0,04","21"
"67652","0","00,00","16"
"67652","1","0,04","27"
"67938","11123","64,47","22"
"67938","4820","27,94","13"
"67938","796","4,61","15"
"67938","376","2,18","12"
"67938","50","0,29","30"
"67938","62","0,36","44"
"67938","0","00,00","80"
"67938","15","0,09","14"
"67938","2","0,01","21"
"67938","0","00,00","16"
"67938","9","0,05","27"
"67970","2077","45,88","22"
"67970","2223","49,11","13"
"67970","137","3,03","15"
"67970","52","1,15","12"
"67970","11","0,24","30"
"67970","15","0,33","44"
"67970","1","0,02","80"
"67970","5","0,11","14"
"67970","2","0,04","21"
"67970","2","0,04","16"
"67970","2","0,04","27"
"67997","3522","59,38","22"
"67997","1935","32,63","13"
"67997","324","5,46","15"
"67997","115","1,94","12"
"67997","8","0,13","30"
"67997","19","0,32","44"
"67997","0","00,00","80"
"67997","4","0,07","14"
"67997","2","0,03","21"
"67997","2","0,03","16"
"67997","0","00,00","27"
"68071","7310","58,67","22"
"68071","4272","34,29","13"
"68071","498","4,00","15"
"68071","273","2,19","12"
"68071","39","0,31","30"
"68071","55","0,44","44"
"68071","0","00,00","80"
"68071","8","0,06","14"
"68071","3","0,02","21"
"68071","1","0,01","16"
"68071","0","00,00","27"
"68098","4436","56,07","22"
"68098","3050","38,55","13"
"68098","280","3,54","15"
"68098","107","1,35","12"
"68098","16","0,20","30"
"68098","15","0,19","44"
"68098","1","0,01","80"
"68098","4","0,05","14"
"68098","3","0,04","21"
"68098","0","00,00","16"
"68098","0","00,00","27"
"68110","12297","53,69","22"
"68110","9062","39,57","13"
"68110","893","3,90","15"
"68110","461","2,01","12"
"68110","75","0,33","30"
"68110","75","0,33","44"
"68110","4","0,02","80"
"68110","23","0,10","14"
"68110","12","0,05","21"
"68110","1","0,00","16"
"68110","1","0,00","27"
"68217","3480","59,31","22"
"68217","2050","34,94","13"
"68217","217","3,70","15"
"68217","97","1,65","12"
"68217","4","0,07","30"
"68217","14","0,24","44"
"68217","0","00,00","80"
"68217","3","0,05","14"
"68217","1","0,02","21"
"68217","1","0,02","16"
"68217","0","00,00","27"
"68292","2502","57,62","22"
"68292","1646","37,91","13"
"68292","120","2,76","15"
"68292","54","1,24","12"
"68292","0","00,00","30"
"68292","16","0,37","44"
"68292","0","00,00","80"
"68292","2","0,05","14"
"68292","1","0,02","21"
"68292","1","0,02","16"
"68292","0","00,00","27"
"61247","34","1,59","12"
"61247","694","32,48","13"
"61247","1","0,05","14"
"61247","112","5,24","15"
"61247","0","00,00","16"
"61247","0","00,00","80"
"61247","1276","59,71","22"
"61247","1","0,05","27"
"61247","7","0,33","30"
"61247","12","0,56","44"
"61247","0","00,00","21"
"68470","20175","60,13","22"
"68470","10996","32,77","13"
"68470","1355","4,04","15"
"68470","741","2,21","12"
"68470","119","0,35","30"
"68470","116","0,35","44"
"68470","8","0,02","80"
"68470","14","0,04","14"
"68470","16","0,05","21"
"68470","11","0,03","16"
"68470","1","0,00","27"
"68497","7230","51,92","22"
"68497","5533","39,73","13"
"68497","781","5,61","15"
"68497","268","1,92","12"
"68497","47","0,34","30"
"68497","45","0,32","44"
"68497","4","0,03","80"
"68497","12","0,09","14"
"68497","3","0,02","21"
"68497","1","0,01","16"
"68497","2","0,01","27"
"68551","2020","57,40","22"
"68551","1300","36,94","13"
"68551","133","3,78","15"
"68551","43","1,22","12"
"68551","6","0,17","30"
"68551","13","0,37","44"
"68551","1","0,03","80"
"68551","2","0,06","14"
"68551","1","0,03","21"
"68551","0","00,00","16"
"68551","0","00,00","27"
"68691","1060","46,33","22"
"68691","1102","48,16","13"
"68691","80","3,50","15"
"68691","43","1,88","12"
"68691","0","00,00","30"
"68691","3","0,13","44"
"68691","0","00,00","80"
"68691","0","00,00","14"
"68691","0","00,00","21"
"68691","0","00,00","16"
"68691","0","00,00","27"
"68853","8208","53,90","22"
"68853","5716","37,53","13"
"68853","758","4,98","15"
"68853","397","2,61","12"
"68853","42","0,28","30"
"68853","85","0,56","44"
"68853","7","0,05","80"
"68853","9","0,06","14"
"68853","2","0,01","21"
"68853","3","0,02","16"
"68853","2","0,01","27"
"68934","1463","48,48","22"
"68934","1432","47,45","13"
"68934","70","2,32","15"
"68934","34","1,13","12"
"68934","10","0,33","30"
"68934","5","0,17","44"
"68934","0","00,00","80"
"68934","1","0,03","14"
"68934","2","0,07","21"
"68934","1","0,03","16"
"68934","0","00,00","27"
"68950","1215","60,18","22"
"68950","696","34,47","13"
"68950","55","2,72","15"
"68950","42","2,08","12"
"68950","4","0,20","30"
"68950","3","0,15","44"
"68950","0","00,00","80"
"68950","4","0,20","14"
"68950","0","00,00","21"
"68950","0","00,00","16"
"68950","0","00,00","27"
"62120","12","1,14","12"
"62120","471","44,81","13"
"62120","0","00,00","14"
"62120","30","2,85","15"
"62120","0","00,00","16"
"62120","1","0,10","80"
"62120","536","51,00","22"
"62120","0","00,00","27"
"62120","0","00,00","30"
"62120","1","0,10","44"
"62120","0","00,00","21"
"69256","4399","55,90","22"
"69256","2988","37,97","13"
"69256","323","4,10","15"
"69256","98","1,25","12"
"69256","18","0,23","30"
"69256","32","0,41","44"
"69256","1","0,01","80"
"69256","8","0,10","14"
"69256","2","0,03","21"
"69256","0","00,00","16"
"69256","0","00,00","27"
"69272","417","1,93","12"
"69272","8499","39,25","13"
"69272","11","0,05","14"
"69272","1027","4,74","15"
"69272","1","0,00","16"
"69272","6","0,03","80"
"69272","11570","53,43","22"
"69272","6","0,03","27"
"69272","53","0,24","30"
"69272","60","0,28","44"
"69272","6","0,03","21"
"69299","3084","2,38","12"
"69299","38227","29,47","13"
"69299","82","0,06","14"
"69299","6442","4,97","15"
"69299","19","0,01","16"
"69299","46","0,04","80"
"69299","80615","62,15","22"
"69299","17","0,01","27"
"69299","639","0,49","30"
"69299","504","0,39","44"
"69299","39","0,03","21"
"69310","400","1,96","12"
"69310","6300","30,89","13"
"69310","17","0,08","14"
"69310","987","4,84","15"
"69310","2","0,01","16"
"69310","8","0,04","80"
"69310","12542","61,49","22"
"69310","0","00,00","27"
"69310","67","0,33","30"
"69310","66","0,32","44"
"69310","8","0,04","21"
"69353","161","2,11","12"
"69353","2696","35,33","13"
"69353","7","0,09","14"
"69353","273","3,58","15"
"69353","1","0,01","16"
"69353","4","0,05","80"
"69353","4427","58,02","22"
"69353","0","00,00","27"
"69353","17","0,22","30"
"69353","38","0,50","44"
"69353","6","0,08","21"
"69450","369","2,13","12"
